Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	69.138	-43.351	
0.034	66.210	-39.185	
0.067	63.057	-35.019	
0.100	59.679	-31.528	
0.134	56.639	-27.812	
0.167	53.486	-25.110	
0.200	50.333	-22.520	
0.234	47.180	-20.718	
0.267	43.915	-19.367	
0.300	41.100	-18.354	
0.334	37.947	-17.791	
0.367	34.907	-17.791	
0.400	31.641	-18.241	
0.434	28.601	-19.254	
0.467	25.561	-20.718	
0.500	22.295	-22.858	
0.534	19.480	-25.448	
0.567	16.440	-28.488	
0.600	13.287	-32.204	
0.634	10.247	-36.595	
0.667	7.319	-41.212	
0.700	4.504	-46.617	
0.734	1.464	-52.134	
