Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	88.349	-83.251	
0.033	88.106	-82.523	
0.066	88.106	-81.309	
0.100	88.106	-79.853	
0.133	88.349	-77.911	
0.166	88.591	-75.727	
0.200	88.591	-73.057	
0.233	88.591	-70.387	
0.266	88.349	-67.717	
0.300	88.591	-64.805	
0.333	88.591	-62.378	
0.366	88.591	-59.708	
0.400	88.591	-57.523	
0.433	88.591	-55.581	
0.466	88.834	-53.882	
0.500	88.834	-52.669	
0.533	89.077	-51.941	
0.566	89.077	-51.698	
0.600	88.834	-52.183	
0.633	89.077	-53.154	
0.666	89.077	-54.368	
0.700	89.077	-56.067	
0.733	89.077	-58.494	
0.766	89.077	-60.921	
0.800	89.077	-63.834	
0.833	88.834	-66.504	
0.866	89.077	-69.659	
0.900	89.077	-72.329	
0.933	88.834	-74.999	
0.966	88.591	-77.426	
1.000	88.591	-79.368	
1.033	88.591	-81.309	
1.066	88.591	-82.523	
1.100	88.349	-83.251	
1.133	88.349	-83.737	
1.166	88.591	-83.251	
1.200	88.349	-82.766	
1.233	88.349	-81.309	
1.266	88.106	-79.853	
1.300	88.106	-77.911	
1.333	88.349	-75.484	
1.366	88.349	-73.057	
1.400	88.106	-70.387	
1.433	88.106	-67.717	
1.466	88.106	-64.805	
1.500	88.106	-62.135	
1.533	88.106	-59.465	
1.566	88.106	-57.523	
1.600	88.349	-55.581	
1.633	88.349	-53.882	
1.666	88.349	-52.669	
1.700	88.349	-52.183	
1.733	88.349	-51.941	
1.766	88.591	-52.183	
1.800	88.834	-53.154	
1.833	88.591	-54.611	
1.866	88.591	-56.310	
1.900	88.834	-58.494	
1.933	89.077	-60.921	
1.966	89.077	-63.834	
2.000	89.077	-66.746	
2.033	89.077	-69.416	
2.066	89.077	-72.329	
2.100	89.077	-74.999	
2.133	89.077	-77.426	
2.166	88.834	-79.610	
2.200	88.834	-81.309	
2.233	89.077	-82.766	
2.266	89.077	-83.251	
2.300	88.834	-83.737	
2.333	88.834	-83.251	
2.366	88.591	-82.766	
2.400	88.591	-81.309	
2.433	88.591	-79.853	
2.466	88.591	-77.911	
2.500	88.349	-75.484	
2.533	88.349	-73.057	
2.566	88.106	-70.144	
2.600	88.349	-67.717	
2.633	88.106	-64.805	
2.666	88.106	-62.135	
2.700	88.106	-59.708	
2.733	88.106	-57.523	
2.766	88.106	-55.581	
2.800	88.106	-54.125	
2.833	88.106	-52.669	
2.866	88.106	-52.183	
2.900	88.106	-52.183	
2.933	88.106	-52.426	
2.966	88.106	-53.154	
3.000	88.349	-54.611	
3.033	88.106	-56.310	
3.066	88.349	-58.494	
3.100	88.591	-60.921	
3.133	88.591	-63.591	
3.166	88.591	-66.504	
3.200	88.591	-69.416	
3.233	88.591	-72.086	
3.266	88.591	-74.999	
3.300	88.834	-77.426	
3.333	88.834	-79.368	
3.366	88.834	-81.309	
3.400	88.834	-82.523	
3.433	89.077	-83.251	
3.466	89.077	-83.737	
3.500	89.077	-83.251	
3.533	89.077	-82.766	
3.566	89.077	-81.552	
3.600	89.077	-79.853	
3.633	88.834	-77.911	
3.666	88.591	-75.484	
3.700	88.591	-73.057	
3.733	88.591	-70.387	
3.766	88.591	-67.717	
3.800	88.591	-64.805	
3.833	88.591	-62.135	
3.866	88.349	-59.708	
3.900	88.349	-57.523	
3.933	88.349	-55.581	
3.966	88.349	-54.125	
4.000	88.349	-52.912	
4.033	88.349	-52.183	
4.066	88.349	-52.183	
4.100	88.349	-52.669	
4.133	88.349	-53.154	
4.166	88.106	-54.611	
4.200	88.106	-56.310	
4.233	88.106	-58.737	
4.266	88.106	-60.921	
4.300	88.106	-63.834	
4.333	88.106	-66.504	
4.366	88.106	-69.416	
4.400	88.106	-72.086	
4.433	88.106	-74.756	
4.466	88.106	-77.183	
4.500	88.349	-79.125	
4.533	88.349	-80.824	
4.566	88.591	-82.280	
4.600	88.834	-83.008	
4.633	88.591	-83.251	
4.666	88.591	-83.251	
4.700	88.591	-82.523	
4.733	88.591	-81.309	
4.766	88.591	-79.610	
4.800	88.591	-77.669	
4.833	89.077	-75.484	
4.866	88.834	-72.814	
4.900	88.591	-70.144	
4.933	88.834	-67.717	
4.966	88.834	-64.805	
5.000	88.834	-62.378	
5.033	88.834	-59.950	
5.066	88.834	-57.280	
5.100	88.591	-55.581	
5.133	88.591	-54.125	
5.166	88.591	-52.912	
5.200	88.591	-52.183	
5.233	88.591	-52.183	
5.266	88.591	-52.426	
5.300	88.349	-53.154	
5.333	88.106	-54.368	
5.366	88.106	-56.310	
5.400	88.106	-58.494	
5.433	88.106	-60.921	
5.466	88.106	-63.834	
5.500	88.106	-66.261	
5.533	88.106	-69.174	
5.566	88.106	-72.086	
5.600	88.106	-74.513	
5.633	88.106	-76.940	
5.666	88.106	-78.882	
5.700	88.106	-80.824	
5.733	88.106	-81.795	
5.766	88.106	-82.766	
5.800	88.106	-83.251	
5.833	88.106	-82.766	
5.866	88.106	-82.280	
5.900	88.106	-80.824	
5.933	88.349	-79.368	
5.966	88.106	-77.426	
6.000	88.591	-75.484	
6.033	88.591	-72.814	
6.066	88.591	-70.144	
6.100	88.591	-67.475	
6.133	88.591	-64.805	
6.166	88.591	-62.135	
6.200	88.834	-59.708	
6.233	88.834	-57.523	
6.266	88.834	-55.581	
6.300	88.834	-54.125	
6.333	88.834	-52.912	
6.366	88.834	-52.183	
6.400	88.834	-52.183	
6.433	89.077	-52.183	
6.466	88.591	-53.154	
6.500	88.591	-54.611	
6.533	88.591	-56.310	
6.566	88.591	-58.494	
6.600	88.591	-60.921	
6.633	88.591	-63.834	
6.666	88.591	-66.261	
6.700	88.591	-69.174	
6.733	88.349	-72.086	
6.766	88.349	-74.513	
6.800	88.349	-76.940	
6.833	88.349	-79.125	
6.866	88.106	-80.824	
6.900	88.106	-81.795	
6.933	88.106	-82.766	
6.966	88.106	-82.766	
7.000	88.106	-82.766	
7.033	88.106	-81.795	
7.066	88.106	-80.824	
7.100	88.106	-79.368	
7.133	88.106	-77.426	
7.166	88.106	-75.241	
7.200	88.106	-72.572	
7.233	88.349	-70.144	
7.266	88.106	-67.475	
7.300	88.106	-64.805	
7.333	88.349	-62.135	
7.366	88.106	-59.708	
7.400	88.349	-57.523	
7.433	88.591	-55.581	
7.466	88.591	-54.125	
7.500	88.591	-52.912	
7.533	88.591	-52.183	
7.566	88.591	-52.183	
7.600	88.834	-52.669	
7.633	88.591	-53.154	
7.666	88.834	-54.611	
7.700	88.834	-56.310	
7.733	88.834	-58.494	
7.766	88.834	-60.921	
7.800	89.077	-63.834	
7.833	89.077	-66.261	
7.866	88.834	-69.174	
7.900	88.834	-72.086	
7.933	88.591	-74.756	
7.966	88.591	-76.940	
8.000	88.591	-79.125	
8.033	88.591	-80.581	
8.066	88.591	-81.795	
8.100	88.591	-82.766	
8.133	88.591	-82.766	
8.166	88.591	-82.766	
