Time(s)	x1ÁÂÇ¥	y1ÁÂÇ¥	x2ÁÂÇ¥	y2ÁÂÇ¥	
0.000	73.058	-71.601	86.164	-12.863	
0.033	74.028	-71.843	86.164	-12.863	
0.066	75.485	-72.086	86.164	-12.863	
0.100	76.941	-72.572	86.164	-12.863	
0.133	78.397	-72.572	86.164	-12.863	
0.166	80.339	-73.057	86.164	-12.863	
0.200	82.038	-73.057	86.164	-12.863	
0.233	83.737	-73.057	86.164	-12.863	
0.266	86.164	-73.057	86.164	-12.863	
0.300	88.106	-73.057	86.164	-12.863	
0.333	90.533	-73.057	86.164	-12.863	
0.366	91.989	-72.814	86.164	-12.863	
0.400	93.688	-72.572	86.164	-12.863	
0.433	95.387	-72.329	86.164	-12.863	
0.466	96.844	-72.086	86.164	-12.863	
0.500	98.300	-71.601	86.164	-12.863	
0.533	99.271	-71.601	86.164	-12.863	
0.566	99.999	-71.358	86.164	-12.863	
0.600	100.242	-71.358	86.164	-12.863	
0.633	100.727	-71.115	86.164	-12.863	
0.666	100.484	-71.115	86.164	-12.863	
0.700	100.242	-71.115	86.164	-12.863	
0.733	99.756	-71.358	86.164	-12.863	
0.766	98.785	-71.601	86.164	-12.863	
0.800	97.329	-72.086	86.164	-12.863	
0.833	95.873	-72.086	86.164	-12.863	
0.866	94.417	-72.572	86.164	-12.863	
0.900	92.960	-72.572	86.164	-12.863	
0.933	91.018	-73.057	86.164	-12.863	
0.966	89.319	-73.057	86.164	-12.863	
1.000	87.135	-73.057	86.164	-12.863	
1.033	84.951	-73.057	86.164	-12.863	
1.066	82.766	-73.057	86.164	-12.863	
1.100	81.067	-73.057	86.164	-12.863	
1.133	79.368	-72.814	86.164	-12.863	
1.166	77.669	-72.572	86.164	-12.863	
1.200	76.213	-72.572	86.164	-12.863	
1.233	74.999	-72.086	85.921	-12.863	
1.266	74.028	-71.843	85.921	-12.863	
1.300	73.058	-71.601	85.921	-12.863	
1.333	72.572	-71.601	85.921	-12.863	
1.366	72.572	-71.601	85.921	-12.863	
1.400	72.329	-71.601	85.921	-12.863	
1.433	72.572	-71.601	85.921	-12.863	
1.466	73.058	-72.086	85.921	-12.863	
1.500	74.028	-72.086	85.921	-12.863	
1.533	74.999	-72.086	85.921	-12.863	
1.566	76.456	-72.572	86.164	-12.863	
1.600	77.912	-72.572	86.164	-12.863	
1.633	79.854	-72.814	86.164	-12.863	
1.666	81.310	-73.057	86.164	-12.863	
1.700	83.252	-73.057	86.164	-12.863	
1.733	85.436	-73.057	86.164	-12.863	
1.766	87.378	-73.057	86.164	-12.863	
1.800	89.562	-73.057	86.164	-12.863	
1.833	91.261	-73.057	86.164	-12.863	
1.866	92.960	-72.814	86.164	-12.863	
1.900	94.417	-72.572	86.164	-12.863	
1.933	95.873	-72.086	86.164	-12.863	
1.966	97.329	-72.086	86.164	-12.863	
2.000	98.543	-71.601	86.164	-12.863	
2.033	99.271	-71.601	86.164	-12.863	
2.066	99.999	-71.358	86.164	-12.863	
2.100	100.242	-71.358	86.164	-12.863	
2.133	100.242	-71.358	86.164	-12.863	
2.166	99.756	-71.115	86.164	-12.863	
2.200	99.514	-71.601	86.164	-12.863	
2.233	98.785	-71.601	86.164	-12.863	
2.266	97.815	-72.086	86.164	-12.863	
2.300	96.358	-72.086	86.164	-12.863	
2.333	94.902	-72.572	86.164	-12.863	
2.366	93.446	-72.572	86.164	-12.863	
2.400	91.504	-72.814	86.164	-12.863	
2.433	89.562	-73.057	86.164	-12.863	
2.466	87.620	-73.057	86.164	-12.863	
2.500	85.921	-73.057	86.164	-12.863	
2.533	83.494	-73.057	86.164	-12.863	
2.566	81.553	-73.057	86.164	-12.863	
2.600	79.854	-72.814	86.164	-12.863	
2.633	78.155	-72.572	86.164	-12.863	
2.666	76.698	-72.329	86.164	-12.863	
2.700	75.485	-72.086	86.164	-12.863	
2.733	74.028	-72.086	86.164	-12.863	
2.766	73.058	-71.601	86.164	-12.863	
2.800	72.572	-71.601	86.164	-12.863	
2.833	72.087	-71.358	86.164	-12.863	
2.866	72.087	-71.601	86.164	-12.863	
2.900	72.087	-71.601	86.164	-12.863	
2.933	72.572	-71.601	86.164	-12.863	
2.966	73.058	-72.086	86.164	-12.863	
3.000	74.271	-71.843	86.164	-12.863	
3.033	75.242	-72.329	86.164	-12.863	
3.066	76.698	-72.329	86.164	-12.863	
3.100	78.155	-72.814	86.164	-12.863	
3.133	80.096	-72.814	86.164	-12.863	
3.166	82.038	-73.057	86.164	-12.863	
3.200	83.737	-73.057	86.164	-12.863	
3.233	85.921	-73.300	86.164	-12.863	
3.266	87.863	-73.057	86.164	-12.863	
3.300	89.805	-73.057	86.164	-12.863	
3.333	91.504	-72.814	86.164	-12.863	
3.366	93.203	-72.572	86.164	-12.863	
3.400	94.659	-72.572	86.164	-12.863	
3.433	96.116	-72.086	86.164	-12.863	
3.466	97.329	-71.843	86.164	-12.863	
3.500	98.300	-71.601	86.164	-12.863	
3.533	99.271	-71.601	86.164	-12.863	
3.566	99.514	-71.601	86.164	-12.863	
3.600	99.756	-71.358	86.164	-12.863	
3.633	99.756	-71.601	86.164	-12.863	
3.666	99.271	-71.601	86.164	-12.863	
3.700	98.785	-71.601	86.164	-12.863	
3.733	97.815	-71.843	86.164	-12.863	
3.766	96.844	-72.086	86.164	-12.863	
3.800	95.387	-72.329	86.164	-12.863	
3.833	93.931	-72.572	86.164	-12.863	
3.866	92.475	-72.572	86.164	-12.863	
3.900	90.533	-72.572	86.164	-12.863	
3.933	89.077	-73.057	86.164	-12.863	
3.966	86.650	-73.057	86.164	-12.863	
